yyyy,mm,dd,hh,SBE37_TEMP,SBE37_CON,SBE37_SALINITY,SAMICO2_TEMP,SAMI_CO2,Optode_O2,FET_PHINT,FET_PHEXT,omega-a,omega-c,TA_calc,DIC_calc,datetime,doy
2015,4,23,15,6.20955,2.7839099999999997,27.597567899570713,NA,NA,410.400390625,8.1373,8.2301,NA,NA,NA,NA,2015-04-23T19:00:00Z,113
2015,4,23,16,6.5244,2.801735,27.503199317108788,6.56,283,406.25,8.1422,8.2373,1.6494667251006843,2.6610031605801043,1993.049559182452,1847.333623149315,2015-04-23T20:00:00Z,113
2015,4,23,17,6.5416,2.8097000000000003,27.568955855754847,6.5,299.3,412.7197265625,8.1626,8.2554,1.9195362054398732,3.0958911476376905,2216.115177042746,2051.3228942855753,2015-04-23T21:00:00Z,113
2015,4,23,18,6.31145,2.812135,27.717565745379574,6.52,338.1,409.423828125,8.1527,8.2433,2.068340737818659,3.334149916565002,2441.1969424955714,2269.5667428460624,2015-04-23T22:00:00Z,113
2015,4,23,19,6.122,2.84047,28.288975969772586,5.97,354.5,407.2265625,8.1449,8.2168,2.1049578631470256,3.3882211943982377,2518.126154865306,2344.8455706365526,2015-04-23T23:00:00Z,113
2015,4,23,20,6.0646,2.850505,28.379762706797248,6.1,330.2,408.447265625,8.1569,8.231,2.075747599723004,3.3392747293767,2427.3450531196872,2253.057338305927,2015-04-24T00:00:00Z,113
2015,4,23,21,5.747199999999999,2.8716850000000003,28.91382710409178,5.66,335.3,404.052734375,8.1402,8.2036,1.9623837712450618,3.1527728852302532,2368.113489898539,2202.3834657209986,2015-04-24T01:00:00Z,113
2015,4,23,22,6.32945,2.832515,27.961645612298337,6.28,312.4,409.5458984375,8.1679,8.2362,2.068088229478715,3.3302137094482918,2354.767423124022,2179.340772589556,2015-04-24T02:00:00Z,113
2015,4,23,23,6.6326,2.696655,26.272639480839693,6.47,299.6,409.423828125,8.183,8.2536,2.0430042371317763,3.311528353576642,2313.556328081734,2142.0880741402852,2015-04-24T03:00:00Z,113
2015,4,24,0,6.6016,2.58969,25.15468261876424,6.56,280.6,405.1513671875,8.1786,8.28205,1.8160078186201956,2.958154931316524,2124.5139824241455,1970.4123739491624,2015-04-24T04:00:00Z,114
2015,4,24,1,6.5055,2.6367599999999998,25.74134813132394,6.47,288.8,405.029296875,8.1689,8.26515,1.8126063391316674,2.9456805775800134,2143.991609302913,1990.0976264788555,2015-04-24T05:00:00Z,114
2015,4,24,2,6.4437,2.6930899999999998,26.369119972771045,6.45,293.1,400.2685546875,8.1602,8.2524,1.7952164069361438,2.9092975349329024,2138.4575128402257,1985.0829980293927,2015-04-24T06:00:00Z,114
2015,4,24,3,6.2748,2.7899950000000002,27.572557467216047,6.34,311,401.3671875,8.1467,8.2251,1.834644608114751,2.9612975653870524,2210.5530310534587,2054.3014659655505,2015-04-24T07:00:00Z,114
2015,4,24,4,6.03955,2.8058050000000003,27.928626689651637,6.1,308.7,404.052734375,8.1551,8.2252,1.9043911209435185,3.06861947997803,2253.303836450013,2090.4742148745645,2015-04-24T08:00:00Z,114
2015,4,24,5,6.0995,2.82991,28.092815847461516,5.99,317.2,404.4189453125,8.151,8.21275,1.9311430006881671,3.10963599179439,2291.233822540257,2126.992044961306,2015-04-24T09:00:00Z,114
2015,4,24,6,6.06165,2.8113799999999998,27.97043161458965,5.97,320.4,400.5126953125,8.1426,8.2083,1.865531770231835,3.006076851005945,2262.6469666037124,2104.2915654168255,2015-04-24T10:00:00Z,114
2015,4,24,7,6.01485,2.8087,27.986552969469628,6.01,309.1,405.1513671875,8.1577,8.2303,1.9264732925300423,3.1042931031422603,2271.2730910537275,2106.820691499809,2015-04-24T11:00:00Z,114
2015,4,24,8,5.7941,2.837215,28.45233584284016,5.83,327.8,402.9541015625,8.1453,8.20915,1.9433917714344802,3.126702962915307,2340.6456043462454,2176.353454596295,2015-04-24T12:00:00Z,114
2015,4,24,9,5.6179,2.88002,29.08728409640535,5.52,329.7,404.1748046875,8.1385,8.1955,1.9116735386648436,3.070418586557128,2324.01086194472,2161.393651123846,2015-04-24T13:00:00Z,114
