WaterBody,DateTime,TimeRoundMinute,Temp,Salinity,CO2,DO,pH
CBB,11/9/2016 18:00,6:00:00 PM,25.16,19.64,477.7,,8.18
CBB,11/9/2016 19:00,7:00:00 PM,25.12,19.38,447.2,,8.2
CBB,11/9/2016 20:00,8:00:00 PM,25.07,19.22,418.6,,8.21
CBB,11/9/2016 21:00,9:00:00 PM,24.97,19.16,417.9,,8.21
CBB,11/9/2016 22:00,10:00:00 PM,25.04,20.35,423.7,,8.2
CBB,11/9/2016 23:00,11:00:00 PM,25.3,26.47,429.8,,8.19
CBB,11/9/2016 0:00,12:00:00 AM,25.33,29.26,441.2,,8.14
CBB,11/9/2016 1:00,1:00:00 AM,25.31,29.43,437.3,,8.12
CBB,11/9/2016 2:00,2:00:00 AM,25.28,29.45,410.7,,8.13
CBB,11/9/2016 3:00,3:00:00 AM,25.23,29.41,396.8,,8.13
CBB,11/9/2016 4:00,4:00:00 AM,24.89,26.24,402.4,,8.1
CBB,11/9/2016 5:00,5:00:00 AM,24.74,24.31,400.3,,8.13
CBB,11/9/2016 6:00,6:00:00 AM,24.64,23.11,397.8,,8.16
CBB,11/9/2016 7:00,7:00:00 AM,24.51,22.65,406.1,,8.17
CBB,11/9/2016 8:00,8:00:00 AM,24.44,22.24,409.7,,8.17
CBB,11/9/2016 9:00,9:00:00 AM,24.32,21.86,417,,8.17
CBB,11/9/2016 10:00,10:00:00 AM,24.08,20.75,423.5,,8.17
CBB,11/9/2016 11:00,11:00:00 AM,24.09,20.79,428.8,,8.19
CBB,11/9/2016 12:00,12:00:00 PM,24.02,20.44,418.4,,8.19
CBB,11/9/2016 13:00,1:00:00 PM,23.98,20.33,418.6,,8.2
CBB,11/9/2016 14:00,2:00:00 PM,23.99,20.2,415.4,,8.2
CBB,11/9/2016 15:00,3:00:00 PM,23.96,20.07,420.7,,8.21
CBB,11/9/2016 16:00,4:00:00 PM,23.92,19.79,416.2,,8.21
CBB,11/9/2016 17:00,5:00:00 PM,23.87,19.86,419.9,,8.22
CBB,11/10/2016 18:00,6:00:00 PM,23.78,19.45,427.8,,8.21
CBB,11/10/2016 19:00,7:00:00 PM,23.76,19.55,439.2,,8.21
CBB,11/10/2016 20:00,8:00:00 PM,23.68,19.44,447.4,,8.21
CBB,11/10/2016 21:00,9:00:00 PM,23.88,20.31,461.3,,8.19
CBB,11/10/2016 22:00,10:00:00 PM,24.5,27.26,454.5,,8.22
CBB,11/10/2016 23:00,11:00:00 PM,24.75,28.87,420.3,,8.16
CBB,11/10/2016 0:00,12:00:00 AM,24.76,28.88,410.3,,8.16
CBB,11/10/2016 1:00,1:00:00 AM,24.7,28.83,410.1,,8.16
CBB,11/10/2016 2:00,2:00:00 AM,24.62,28.78,412.3,,8.16
CBB,11/10/2016 3:00,3:00:00 AM,24.52,28.71,410.8,,8.16
CBB,11/10/2016 4:00,4:00:00 AM,24.16,28.5,413,,8.15
CBB,11/10/2016 5:00,5:00:00 AM,24.1,28.46,415.1,,8.15
CBB,11/10/2016 6:00,6:00:00 AM,23.91,28.38,414.6,,8.15
CBB,11/10/2016 7:00,7:00:00 AM,23.88,28.39,419,,8.15
CBB,11/10/2016 8:00,8:00:00 AM,23.81,28.38,421.3,,8.15
CBB,11/10/2016 9:00,9:00:00 AM,23.78,28.36,420.2,,8.14
CBB,11/10/2016 10:00,10:00:00 AM,23.69,27.63,419.2,,8.14
CBB,11/10/2016 11:00,11:00:00 AM,23.5,33.19,418.8,,8.21
CBB,11/10/2016 12:00,12:00:00 PM,23.34,35.31,419,,8.24
CBB,11/10/2016 13:00,1:00:00 PM,23.34,30.29,417.3,,8.18
CBB,11/10/2016 14:00,2:00:00 PM,23.4,32.06,417,,8.21
CBB,11/10/2016 15:00,3:00:00 PM,23.41,29.55,422.4,,8.17
CBB,11/10/2016 16:00,4:00:00 PM,23.42,27.3,422.8,,8.14
CBB,11/10/2016 17:00,5:00:00 PM,23.34,28.84,429.3,,8.16
CBB,11/11/2016 18:00,6:00:00 PM,23.09,27,422.9,,8.15
CBB,11/11/2016 19:00,7:00:00 PM,22.84,25.88,424.9,,8.15
CBB,11/11/2016 20:00,8:00:00 PM,22.76,25.53,434.4,,8.17
CBB,11/11/2016 21:00,9:00:00 PM,22.61,24.62,443.1,,8.16
CBB,11/11/2016 22:00,10:00:00 PM,22.4,23.69,447.2,,8.17
CBB,11/11/2016 23:00,11:00:00 PM,22.71,24.81,452.4,,8.2
CBB,11/11/2016 0:00,12:00:00 AM,23.07,25.81,439.5,,8.15
CBB,11/11/2016 1:00,1:00:00 AM,23.27,26.99,430.5,,8.15
CBB,11/11/2016 2:00,2:00:00 AM,23.62,27.86,416.5,,8.15
CBB,11/11/2016 3:00,3:00:00 AM,22.91,26.17,424.3,,8.14
CBB,11/11/2016 4:00,4:00:00 AM,22.51,25.32,428.6,,8.15
CBB,11/11/2016 5:00,5:00:00 AM,22.27,24.23,431.6,,8.16
CBB,11/11/2016 6:00,6:00:00 AM,22.13,23.88,437.1,,8.17
CBB,11/11/2016 7:00,7:00:00 AM,21.84,23.31,442.5,,8.17
CBB,11/11/2016 8:00,8:00:00 AM,21.8,23.1,452.6,,8.18
CBB,11/11/2016 9:00,9:00:00 AM,21.67,22.27,463.3,,8.16
CBB,11/11/2016 10:00,10:00:00 AM,21.55,21.73,463.4,,8.17
CBB,11/11/2016 11:00,11:00:00 AM,21.58,21.72,465.6,,8.18
CBB,11/11/2016 12:00,12:00:00 PM,21.56,21.26,457.3,,8.19
CBB,11/11/2016 13:00,1:00:00 PM,21.65,21.23,450,,8.2
CBB,11/11/2016 14:00,2:00:00 PM,21.88,22.36,439.2,,8.19
CBB,11/11/2016 15:00,3:00:00 PM,21.8,21.19,408.3,,8.21
CBB,11/11/2016 16:00,4:00:00 PM,21.84,21.15,407.8,,8.23
CBB,11/11/2016 17:00,5:00:00 PM,21.81,21.11,419.7,,8.24
CBB,11/12/2016 18:00,6:00:00 PM,21.84,21.03,432.6,,8.23
CBB,11/12/2016 19:00,7:00:00 PM,21.71,20.44,434.4,,8.21
CBB,11/12/2016 20:00,8:00:00 PM,21.69,20.35,430.3,,8.22
CBB,11/12/2016 21:00,9:00:00 PM,21.69,20.65,437.7,,8.24
CBB,11/12/2016 22:00,10:00:00 PM,21.61,20.58,436.8,,8.23
CBB,11/12/2016 23:00,11:00:00 PM,21.55,20.35,443.5,,8.23
CBB,11/12/2016 0:00,12:00:00 AM,21.49,20.27,444.6,,8.22
CBB,11/12/2016 1:00,1:00:00 AM,21.38,20.23,446.1,,8.23
CBB,11/12/2016 2:00,2:00:00 AM,21.37,20.09,445.8,,8.22
CBB,11/12/2016 3:00,3:00:00 AM,21.43,19.47,446.4,,8.22
CBB,11/12/2016 4:00,4:00:00 AM,21.49,19.73,442.35,,8.23
CBB,11/12/2016 5:00,5:00:00 AM,21.45,19.2,438.3,,8.22
CBB,11/12/2016 6:00,6:00:00 AM,21.41,19.12,453.3,,8.22
CBB,11/12/2016 7:00,7:00:00 AM,21.34,19.39,461.6,,8.23
CBB,11/12/2016 8:00,8:00:00 AM,21.23,19.6,454.1,,8.22
CBB,11/12/2016 9:00,9:00:00 AM,21.14,19.5,448.9,,8.22
CBB,11/12/2016 10:00,10:00:00 AM,21.09,18.43,454.2,,8.21
CBB,11/12/2016 11:00,11:00:00 AM,21.2,18.85,454.4,,8.23
CBB,11/12/2016 12:00,12:00:00 PM,21.22,18.28,455.3,,8.22
CBB,11/12/2016 13:00,1:00:00 PM,21.39,19.79,433.8,,8.22
CBB,11/12/2016 14:00,2:00:00 PM,22.34,24.43,422.4,,8.25
CBB,11/12/2016 15:00,3:00:00 PM,23.18,27.69,401.4,,8.2
CBB,11/12/2016 16:00,4:00:00 PM,23.51,28,391.9,,8.18
CBB,11/12/2016 17:00,5:00:00 PM,23.52,28,390.9,,8.18
CBB,11/13/2016 18:00,6:00:00 PM,23.51,28.01,392.8,,8.18
CBB,11/13/2016 19:00,7:00:00 PM,23.51,28.02,397.9,,8.18
CBB,11/13/2016 20:00,8:00:00 PM,23.39,27.87,407.9,,8.17
CBB,11/13/2016 21:00,9:00:00 PM,23.38,27.84,416.4,,8.17
CBB,11/13/2016 22:00,10:00:00 PM,23.35,27.81,415.5,,8.17
CBB,11/13/2016 23:00,11:00:00 PM,23.23,27.64,417.3,,8.17
CBB,11/13/2016 0:00,12:00:00 AM,22.44,25.09,407.4,,8.15
CBB,11/13/2016 1:00,1:00:00 AM,22.4,25.4,405,,8.18
CBB,11/13/2016 2:00,2:00:00 AM,22.11,24.26,409.3,,8.17
CBB,11/13/2016 3:00,3:00:00 AM,21.95,23.31,412.2,,8.16
CBB,11/13/2016 4:00,4:00:00 AM,21.79,22.33,399.4,,8.19
CBB,11/13/2016 5:00,5:00:00 AM,21.71,21.6,407.7,,8.2
CBB,11/13/2016 6:00,6:00:00 AM,21.82,22.05,420.1,,8.23
CBB,11/13/2016 7:00,7:00:00 AM,21.63,21.41,428.3,,8.2
CBB,11/13/2016 8:00,8:00:00 AM,21.64,21.49,433.1,,8.21
CBB,11/13/2016 9:00,9:00:00 AM,21.59,21.44,443,,8.21
CBB,11/13/2016 10:00,10:00:00 AM,21.51,20.51,443.7,,8.2
CBB,11/13/2016 11:00,11:00:00 AM,21.39,18.76,439.2,,8.19
CBB,11/13/2016 12:00,12:00:00 PM,21.44,19.04,439.2,,8.21
CBB,11/13/2016 13:00,1:00:00 PM,21.77,23.03,425.5,,8.21
CBB,11/13/2016 14:00,2:00:00 PM,22.83,27.11,406.7,,8.19
CBB,11/13/2016 15:00,3:00:00 PM,23.31,28,390.9,,8.17
CBB,11/13/2016 16:00,4:00:00 PM,23.32,27.92,386,,8.18
