"","WaterBody","Season","DateTime","Temp_meas","Sal_meas","CO2_meas","DO_meas","pH_meas","CO2_Tcorr12"
"1","CB","Spring",2015-04-23 11:00:00,6.2,27.6,NA,13.13,8.14,NA
"2","CB","Spring",2015-04-23 12:00:00,6.5,27.51,283,13,8.14,357.12894164334
"3","CB","Spring",2015-04-23 13:00:00,6.55,27.56,299.3,13.21,8.16,376.900570847731
"4","CB","Spring",2015-04-23 14:00:00,6.29,27.79,338.1,13.1,8.15,430.468740741673
"5","CB","Spring",2015-04-23 15:00:00,6.08,28.26,354.5,13.03,8.14,455.376407403938
"6","CB","Spring",2015-04-23 16:00:00,5.95,28.47,330.2,13.07,8.16,426.500496682696
"7","CB","Spring",2015-04-23 17:00:00,5.82,28.89,335.3,12.93,8.14,435.475985963834
"8","CB","Spring",2015-04-23 18:00:00,6.32,28.06,312.4,13.11,8.17,397.243092895022
"9","CB","Spring",2015-04-23 19:00:00,6.58,26.32,299.6,13.1,8.18,376.799890328931
"10","CB","Spring",2015-04-24 20:00:00,6.6,25.2,280.6,12.96,8.18,352.605605575196
"11","CB","Spring",2015-04-24 21:00:00,6.51,25.75,288.8,12.96,8.17,364.29406305279
"12","CB","Spring",2015-04-24 22:00:00,6.45,26.41,293.1,12.81,8.16,370.657645333371
"13","CB","Spring",2015-04-24 23:00:00,6.29,27.46,311,12.84,8.15,395.965035109909
"14","CB","Spring",2015-04-24 00:00:00,6.03,28,308.7,12.93,8.16,397.38315114973
"15","CB","Spring",2015-04-24 01:00:00,6.09,28.15,317.2,12.94,8.15,407.290011133295
"16","CB","Spring",2015-04-24 02:00:00,6.04,27.99,320.4,12.82,8.14,412.269893090245
"17","CB","Spring",2015-04-24 03:00:00,5.97,28.01,309.1,12.96,8.16,398.909210797774
"18","CB","Spring",2015-04-24 04:00:00,5.79,28.5,327.8,12.89,8.15,426.275847608403
"19","CB","Spring",2015-04-24 05:00:00,5.63,29.05,329.7,12.93,8.14,431.658233973283
"20","CB","Spring",2015-04-24 06:00:00,5.64,29.22,324.3,13,8.15,424.408745519877
"21","CB","Spring",2015-04-24 07:00:00,5.68,29.26,324,13,8.16,423.299309287329
"22","CB","Spring",2015-04-24 08:00:00,5.86,28.67,315,13.07,8.17,408.419420917097
"23","CB","Spring",2015-04-24 09:00:00,6.21,27.2,308.2,12.65,8.16,393.73020776626
"24","CB","Spring",2015-04-24 10:00:00,6.55,26.72,290.6,13.2,8.2,365.944891040263
"25","CB","Spring",2015-04-24 11:00:00,6.63,26.07,291.6,12.63,8.16,365.963645829947
"26","CB","Spring",2015-04-24 12:00:00,6.66,26.16,291.9,12.78,8.16,365.875560831199
"27","CB","Spring",2015-04-24 13:00:00,6.51,26.87,293.5,12.88,8.16,370.222671419647
"28","CB","Spring",2015-04-24 14:00:00,6.45,27.41,290.8,13.01,8.16,367.749038768149
"29","CB","Spring",2015-04-24 15:00:00,6.48,27.73,291.4,13.07,8.17,368.040465882604
"30","CB","Spring",2015-04-24 16:00:00,6.33,27.78,290.1,13.07,8.17,368.730745658492
"31","CB","Spring",2015-04-24 17:00:00,6.22,27.86,290.5,13.01,8.16,370.961237602066
"32","CB","Spring",2015-04-24 18:00:00,6.23,28.11,302.2,12.89,8.16,385.738643145345
"33","CB","Spring",2015-04-24 19:00:00,6.28,28.41,298.6,13.09,8.17,380.338210725471
"34","CB","Spring",2015-04-25 20:00:00,6.26,28.41,297.7,13.09,8.17,379.512778430236
"35","CB","Spring",2015-04-25 21:00:00,6.55,27.42,297.8,12.79,8.16,375.011660536099
"36","CB","Spring",2015-04-25 22:00:00,6.52,27.27,293.4,12.91,8.16,369.940013089394
"37","CB","Spring",2015-04-25 23:00:00,6.45,27.28,299.1,12.86,8.15,378.245314633952
"38","CB","Spring",2015-04-25 00:00:00,6.3,27.34,304.9,12.59,8.15,388.034345095918
"39","CB","Spring",2015-04-25 01:00:00,6.29,27.85,308.1,12.73,8.15,392.272756647469
"40","CB","Spring",2015-04-25 02:00:00,6.34,28.17,308.6,12.93,8.15,392.079231260385
